OP
"Define data management strategy ; The DMS is a collaboration of business, data and technology stakeholders. The strategy must identify the high-level organizational objectives identified by the organization’s senior executives."
Obtain mandate to develop DMS ; 
Create a DMS team ; 
Identify DMS stakeholders ; 
Review and approve DMS by stakeholders ; Approval of the DMS requires a mechanism and a governance structure that provides authority for the Strategy
Create a DMS socialization strategy ; 
Evaluate the enforceability of DMS ; Enforceability of the DMS should be evaluated by the Internal Audit function of the organization.
"Document high-level business requirements / use Cases ; High-level business requirements are those identified by the operating units, often reflecting the high-level enterprise requirements identified by executive management. It is important that the DMS reflect both the organizational requirements as well as operating units’ requirements"
Prioritize business requirements / use cases ; The prioritized enterprise and operating units’ business requirements will inform the priorities of the DM initiative.
Define mecanisms for DMS alignment with organizational changes ; 
"Define DM business case ; The DM business case must align with and reflect the enterprise and operating units level objectives, drivers and requirements as detailed in the DMS."
Define expected DM outcomes and targets ; A primary function of the business case is to define the challenges of the current-state and to define the roadmap to improvement.
Define DMS expected benefits and KPIs ; 
Identify risks associated with not having a DMS ; 
Review and approve DM business case ; Buy-in to the business case is affirmed by stakeholder validation of the quantifiable business outcomes
Define data content strategy ; The data content strategy identifies the sources and types of data that are required to meet the prioritized objectives of the business. Sources include both internal and external data.
"Review external sources for business requirements ; External sources can greatly facilitate the process of collecting the data required to achieve the organization's business objectives. Types of alternative data which can easily be collected through external sources include geospatial, satellite, mobile, sensor, weather, and social media. All data collected from external sources must be viewed through the lens of ethical access and use."
Assess the current state of DM initiatives ; The assessment of the current-state of the organization's data management capabilities is required to accurately define a strategy and roadmap to achieve the organization's target state for data management. The assessment should be done by independent stakeholders and should cover data management capabilities across the data lifecycle.
Define gap closure roadmap ; The definition of a gap closure roadmap must clearly define how the organization will go from its current state to its target state in terms of data management capabilities. It must include the key activities to be implemented as well as metrics and milestones to allow proper oversight.
"Define data management deployment strategy ; The Data Management Deployment Strategy defines the prioritized business objectives and their requirements for DM. The strategy includes a vision of the DM initiative target-state, current-state gap analysis, prioritized roadmap and execution resource requirements."
Review and approve data management deployment strategy ; The data management deployment strategy must be reviewed and approved prior to being implemented. This approval extends to the gap closure roadmap to ensure that the planned activities and resources are aligned with the DM initiative's budget and business objectives.
"Define a DM policy and standards ; Policy and standards must reflect the basic principles of DM. Policy and standards must define how business, technology, and operations functions manage and control data. They address how data is acquired, managed, maintained and delivered throughout an organization."
"Review and approve DM policy and standards ; Policy and standards must be shared and reviewed by stakeholders to ensure agreement, alignment, and buy-in. Policy and standards are vital for effective DG and should be subjected to a rigorous challenge process by stakeholders. DG must be aligned with and become integrated in the existing governance structures of the organization."
Audit adherence to DM policy and standards ; Policy and standards must be supported by established audit processes and routines in partnership with Internal Audit. Lack of adherence to policy and standards must be elevated as a formal audit issue that requires resolution.
"Establish collaborative processes and protocols for ongoing consultation with SMEs ; Setting up structured and collaborative processes, along with established protocols, to facilitate continuous consultation with Subject Matter Experts (SMEs), in support of a secure and effective exchange of knowledge and insights throughout the project"
"Establish a data standards repository ; Creating a centralized repository or database for storing and managing data standards, including guidelines, formats, and specifications, making it easily accessible to ensure consistent data handling and interpretation across an organization or project"
"Establish processes and procedures to identify relevant data standards ; Developing methods, guidelines and procedures for the systematic identification of pertinent data standards, ensuring that relevant guidelines and specifications are recognized and applied in data management and usage"
"Review existing organizational/departmental data practices ; Regularly reviewing and assessing current data-related practices within an organization or department, aimed at understanding and potentially improving the way data is collected, stored, analyzed, and utilized to align with goals and standards"
"Record the adopted data standards ; Documenting and recording the specific data standards that have been officially adopted by an organization, and the rationale or justification behind the choice, creating a clear record of the established guidelines and specifications for consistent data management and usage"
"Establish the Office of Data Management (ODM) ; The ODM includes the organizational team responsible for promoting the DM initiative at the various operating levels of the organization. A formal office is necessary to create policy, implement standards, coordinate governance, and manage organizational collaboration across control functions."
"Establish data management processes for the context of the project ; Defining, documenting and communicating data management processes in accordance with the context of the project"
"Define DMP strategy and approach ; The strategy and approach must be defined for the DMP. Once established, it must be formally empowered by senior management and its role communicated to all stakeholders."
"Review and approve DMP strategy and approach ; The data management program strategy and approach must be reviewed and approved prior to being implemented. Once established, the strategy and approach must be formally empowered by senior management and its role communicated to all stakeholders."
Define roles and responsibilities of the DMP function ; The DM initiative will require the coordination of many projects across the organization or division. Resources may be shared. It is important to clearly define the roles and responsibilities within the DM Program function.
Define policies and procedures to enforce DMP compliance ; Authority is granted to the DMP function to implement and enforce DM best practices via policy and standards. The DMP must define policies and procedures to enforce compliance with DM best practices and regulatory requirements.
"Establish Project Management Office (PMO) ; Program coordination must be formalized, appropriately staffed, funded and empowered to ensure alignment among the stakeholders and adherence to program deliverables. It is important that a PMO is established and appropriately staffed with adequate resources to manage the required workload of the DM initiative. The authority and responsibility of the PMO must be defined and communicated to all stakeholders."
"Define formal DMP processes ; Formal processes must be established for the activities of the DMP. These processes align with the DM policy and standards of the organization and include procedures, tools and routines. The routines are required for steady-state operations. Routines include but are not limited to regular stakeholder meetings, planning sessions, status reporting, etc."
Integrate DMP concepts in DMS ; The DMS must include concepts from each of the Framework Components integrated into a coherent strategy. The DMP function will incorporate the strategic concepts into a DMP strategy with required detail to support execution
"Establish processes to review and improve data management activities ; Creating and establishing procedures for regularly evaluating and enhancing data management practices and improving the data lifecycle management within an organization. It includes conducting systematic reviews of data-related processes, establishing a feedback mechanism for data users and custodians, identifying areas for improvement, and implementing changes to optimize data management activities"
"Define data usage strategy ; The data usage strategy defines how the organization intends to use data. The strategy includes the vision for the adoption and use of advanced analytics methods and tools like Machine Learning (ML), Artificial Intelligence (AI) and cognitive thinking. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes."
Define roles and responsibilities specific to managing data and information throughout its lifecycle ; Defining and creating the RACI matrix specific to managing data records and information throughout its life-cycle and informing involved stakeholders of their respective role and responsibilities
"Review data usage strategy for ethical considerations ; The approval of the data usage strategy must include a review of the ethical use and outcome of data being used. The strategy must identify the appropriate use of innovation within the constraints of achieving ethical data outcomes. If the use and/or outcome of the data being used is not ethical, the strategy must be revisited."
"Document intended usage of data ; Systematically recording and detailing the planned or authorized purposes for which specific data is intended to be used. It includes documenting the permissible and authorized uses of data, outlining the approved scope and context in which the data can be utilized, ensuring compliance with privacy, legal, and organizational guidelines"
"Identify and evaluate restrictions on data usage ; Identifying, determining and documenting the restrictions on the data usage, which specify when and how data can be accessed and used"
"Document data usage restrictions ; Documentation of the restrictions on the data usage, which specify when and how data can be accessed and used"
Validate that data collection and/or usage is aligned with legitimate purpose ; Monitoring and validating that data collection and/or usage is in alignment with legitimate purposes and contexts
Implement processes and technologies to ensure that data is collected and used in accordance with applicable laws and regulations ; Establishing processes and implementing technological tools to trace and record data through the development and usage of the AI system
"Define program roadmaps aligned with DMS ; Program roadmaps must describe the steps required to attain the DM initiative’s target-state for its organizational structure and function. Roadmap topics include but are not limited to, governance structure; content management strategy; infrastructure design and data architecture."
"Review and approve program roadmaps ; It is essential that roadmaps be shared with stakeholders. Working with stakeholders during the development phases invites collaborative feedback and buy-in. The back-and-forth collaboration is essential if you want stakeholders to own the outcomes, deliverables and commitments."
"Develop project plans detailing deliverables, timelines, and milestones ; Once roadmaps are agreed to and approved, they must be translated into tangible mechanisms for delivery. The project plans need to contain practical deliverables and reflect the priorities that were negotiated with stakeholders. They must be in alignment with approved budgets."
"Review and approve project plans ; Once defined, project plans must be reviewed and approved to ensure alignment between deliverables, timelines and milestones with the organization's data management vision and strategy."
Adopt a process optimization framework ; A centralized capability is created to achieve process excellence and continuous improvement within the ODM
"Define standard DM processes ; The success of the DM initiative depends on repeatable execution of standard, sustainable and measurable DM processes. The enterprise DMP, working with the operating units DMP, is responsible for developing standard DM processes across the organization."
"Assess quality control within DM process ; DM processes should be routinely monitored. Monitoring occurs on three levels. First, QC self-attestation where the stakeholders evaluate and assert they are following the DM processes. These QC self-assessments of the operating units DM processes must be periodically performed."
"Monitor quality assurance of DM process ; DM processes should be routinely monitored. Monitoring occurs on three levels. Second, QA by ODM, where the DM initiative works with stakeholders to validate compliance. QA monitoring must be performed for the operating units DM processes by the enterprise level ODM."
"Audit DM processes ; The DM policy must require the adoption of standard DM processes and tools across the organization. Routines should be established that include quality control (QC) self-assessments within the process, quality assurance (QA) monitoring from outside the process and formal audit performed by Internal Audit."
Establish formal DM training programs ; Behavior and culture change are required for effective DM. Formal training is needed to ensure those with data responsibility are operating in accordance with established data policy and standards.
"Define program metrics to track progress ; Develop program metrics for Key Performance Indicators (KPIs) and Key Risk Indicators (KRIs) to track the progress of the implementation and adoption of the DM initiative. Include other critical metrics that demonstrate the health and wellness of the DM initiative. The metrics include program capabilities such as organizational structure rollout, skill-set hiring, leader appointments, policy adoption and standards implementation."
"Review and approve program metrics ; Once defined, the program metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of program metrics to the business to ensure that metrics are relevant for the executive team."
"Report program metrics to track progress ; Program metrics are designed to track progress against the implementation plans for the DM initiative. This is the implementation of metrics at the end-user level. This is designed to provide evidence of progress against the DMP roadmap. When you can validate that you are on track, that is a valuable tool for communication across stakeholders including executive management."
"Define outcome metrics to track against business objectives ; Outcome metrics are measurements of the net effect of the DM initiative. Define metrics that cover the stated business objectives that align to the data, data usage and DM deployment strategies in the DM strategy. Examples of outcome metrics include lower operational failures, streamlined reporting, reduced number of data reconciliations, improved data discovery, improved access to critical data and the use of data is appropriate and ethical."
"Review and approve outcome metrics ; Once defined, the outcome metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of outcome metrics to the business to ensure that metrics are relevant for the executive team."
Report outcome metrics against business objectives ; Outcome metrics must be used to inform and drive program decisions and modifications. Outcome metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind outcome metrics before reporting them.
"Define process metrics to drive continuous improvement ; A core aspect of business process optimization is establishing metrics to measure the performance of that process. When the process is not performing as designed there is an opportunity for process improvement. The metrics are intended to be an early alert system to identify process failures. Additionally, the metrics often support assessing the impact and priority of an underperforming process."
"Review and approve process metrics ; Once defined, the process metric plans and approach must be reviewed and approved by key stakeholders to ensure alignment with the DM initiative. It is also important to consider the value of process metrics to the business to ensure that metrics are relevant for the executive team."
Report process metrics ; Process metrics must be used to inform and drive program decisions and modifications. Process metrics must be tracked and reported to key stakeholders which includes executive management. It is important for stakeholders to understand the concepts behind process metrics before reporting them.
"Establish an approved Enterprise Information Management solution for documenting business activities, decisions, and processes ; Establish an approved Enterprise Information Management solution to document business activities, decisions, and processes according to predetermined standards."
Establish a mechanism for tracking and reporting on adoption and usage of the Enterprise Information Management solution ; Create and implement a system to track and report the adoption and usage of the Enterprise Information Management solution.
